,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Original Price,Sales Price,Stock #,Trans,Vehicle Name,Vin #,Year,Location
0, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Black MB-Tex," 9,188","            $38,240          ","             $32,578          ", R20899, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EBXKN742067,2019,"El Dorado Hills, CA        "
1, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, Black MB-Tex," 5,814","            $39,395          ","             $34,298          ", R20910, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz GLA 250 AWD 4MATIC®, WDCTG4GB9KJ551848,2019,"El Dorado Hills, CA        "
2, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 37 MPG                                          |                              CITY, Black MB-Tex," 5,798","            $35,145          ","             $32,452          ", R20964, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN708246,2019,"El Dorado Hills, CA        "
3, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Brilliant Blue Metallic, 28 MPG                                          |                              CITY, Black MB-Tex," 4,985","            $47,991          ","             $39,995          ", R20979, 9-Speed Automatic w/OD,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB8JV070443,2018,"El Dorado Hills, CA        "
4, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 33 MPG                                          |                              CITY, Silk Beige MB-Tex," 6,866","            $45,175          ","             $36,892          ", R20811, 9-Speed Automatic w/OD,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF4JB3JU280062,2018,"El Dorado Hills, CA        "
5, AWD 4MATIC®, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 23 MPG                                          |                              CITY, Black MB-Tex," 9,334","            $61,650          ","             $51,983          ", R20987, 9-Speed Automatic w/OD,Mercedes-Benz GLE 400 AWD 4MATIC®, 4JGDA5GB7KB212111,2019,"El Dorado Hills, CA        "
6, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 37 MPG                                          |                              CITY, Black MB-Tex," 5,006","            $39,095          ","             $34,332          ", R20990, 7-Speed Auto-Shift Manual w/OD,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN714435,2019,"El Dorado Hills, CA        "
7, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Emerald Green Metallic, 34 MPG                                          |                              CITY, Silk Beige MB-Tex," 7,405","            $45,095          ","             $38,079          ", R20988, 9-Speed Automatic w/OD,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DB9KU286789,2019,"El Dorado Hills, CA        "
8, AWD 4MATIC®, Twin Turbo Premium Unleaded V-6 3.0 L/183, Polar White, 22 MPG                                          |                              CITY, Black MB-Tex," 7,881","            $79,520          ","             $67,922          ", R20986, 9-Speed Automatic w/OD,Mercedes-Benz GLS 450 AWD 4MATIC®, 4JGDF6EE3KB205371,2019,"El Dorado Hills, CA        "
9, Rear Wheel Drive, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Black,, Black MB-Tex," 20,070","            $33,995          ","             $26,992          ", R20992, 7-Speed Automatic w/OD,Mercedes-Benz C 350 Rear Wheel Drive, 55SWF4HB3GU152726,2016,"El Dorado Hills, CA        "
10, AWD, Twin Turbo Premium Unleaded V-8 4.4 L/268, BLACK, 24 MPG                                          |                              CITY, Brown," 29,928","            $69,995          ","             $64,322          ", R21005, 8-Speed Automatic w/OD,BMW 6 Series ALPINA B6 G/CP AWD AWD, WBA6D6C54GGK18191,2016,"El Dorado Hills, CA        "
11, Rear Wheel Drive, Twin Turbo Premium Unleaded V-8 4.7 L/285, Selenite Grey Metallic, 26 MPG                                          |                              CITY, Black Leather w/ white contrast stitching," 40,272","            $54,991          ","             $49,222          ", R21011, 9-Speed Automatic w/OD,Mercedes-Benz CLS 550 Rear Wheel Drive, WDDLJ7DB3GA164982,2016,"El Dorado Hills, CA        "
12, FWD, Gas/Electric I-4 2.5 L/152, Gray, 39 MPG                                          |                              CITY, Black," 32,578","            $35,995          ","             $31,422          ", R21024, 1-Speed CVT w/OD,Lexus ES ES 300h FWD, JTHBW1GG7H2138004,2017,"El Dorado Hills, CA        "
