,Drivetrain,Engine,Exterior,HWY,Interior,Location,Mileage,Original Price,Sales Price,Stock #,Trans,Unnamed: 0,Vehicle Name,Vin #,Year
0, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 26 MPG                                          |                              CITY, Black Leather,"Sacramento, CA        "," 4,921","            $63,895          ","             $51,788          ", B11684, 9-Speed Automatic w/OD,,Mercedes-Benz E 400 RWD, WDD1J6FB7JF028783,2018
1, RWD, Premium Unleaded V-6 3.5 L/213, Selenite Grey Metallic, 23 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 6,898","            $58,295          ","             $47,999          ", B11461, 7-Speed Automatic w/OD,,Mercedes-Benz 350 RWD, 4JGDA5JB7JB181806,2018
2, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Polar White, 22 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 9,454","            $76,730          ","             $65,555          ", B11736, 9-Speed Automatic w/OD,,Mercedes-Benz GLS 450 AWD 4MATIC®, 4JGDF6EE5KB207624,2019
3, 4WD, Intercooled Turbo Diesel V-6 3.0 L/183, Gray, 28 MPG                                          |                              CITY, BLACK LEATHER,"Sacramento, CA        "," 20,856","            $91,519          ","             $78,633          ", B11754, 8-Speed Automatic w/OD,,Land Rover Range Rover HSE 4WD, SALGS2RK3JA503065,2018
4, RWD, Premium Unleaded V-6 3.5 L/213, Black, 30 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 47,277","            $28,916          ","             $22,999          ", B11793, 7-Speed Automatic w/OD,,Mercedes-Benz E 350 Sport RWD, WDDHF5KB7EB019305,2014
5, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Obsidian Black Metallic, 32 MPG                                          |                              CITY, Bengal Red Premium Leather,"Sacramento, CA        "," 37,863","            $37,851          ","             $30,425          ", B11795, 9-Speed Automatic w/OD,,Mercedes-Benz SLK 300 Sport RWD, WDDPK3JA0GF123893,2016
6, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 30 MPG                                          |                              CITY, Macchiato Beige/ Black MB-Tex,"Sacramento, CA        "," 21,307","            $48,762          ","             $39,909          ", B11798, 9-Speed Automatic w/OD,,Mercedes-Benz E 300 RWD, WDDZF4JB8HA061234,2017
7, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 28 MPG                                          |                              CITY, Black MB-Tex,"Sacramento, CA        "," 25,093","            $34,890          ","             $29,455          ", B11812, 9-Speed Automatic w/OD,,Mercedes-Benz GLC 300 RWD, WDC0G4JB5GF016182,2016
8, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Dakota Brown Metallic, 34 MPG                                          |                              CITY, Luxury Silk Beige MB-Tex w/ Espresso Brown Dashboard,"Sacramento, CA        "," 19,393","            $37,822          ","             $28,709          ", B11811, 7-Speed Automatic w/OD,,Mercedes-Benz C 300 Luxury RWD, 55SWF4JB5HU199459,2017
9, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, designo Diamond White Metallic, 26 MPG                                          |                              CITY, Black Leather w/white cont. stitching,"Sacramento, CA        "," 39,226","            $54,559          ","             $49,816          ", B11819, 9-Speed Automatic w/OD,,Mercedes-Benz CLS 550 RWD, WDDLJ7DB8GA167456,2016
