,Stock #,Original Price,Sales Price,Vin #,Vehicle Name,Year,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Trans,Location
0, U11308,"            $53,240          ","             $51,000          ", WDRPF1CD6KT000488,Freightliner F2CA76 F2CA76 RWD,2019, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARTIC WHITE,, Black/White, 10, 7-Speed Automatic w/OD,"Rocklin, CA        "
1, U11361,"            $53,240          ","             $50,989          ", WDRPF1CD2KT000813,Freightliner F2CA76 F2CA76 RWD,2019, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARTIC WHITE,, Black/White, 10, 7-Speed Automatic w/OD,"Rocklin, CA        "
2, U11203,"            $39,740          ","             $33,000          ", WDDSJ4EB8KN717667,Mercedes-Benz CLA 250 FWD,2019, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cocoa Brown Metallic, 37 MPG                                          |                              CITY, Sahara Beige MB-Tex," 7,325", 7-Speed Auto-Shift Manual w/OD,"Rocklin, CA        "
3, U11522,"            $48,116          ","             $46,000          ", WDYPF1CD5KT003399,Freightliner Sprinter Cargo Van F2CA76,2019, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARCTIC WHITE,, Black, 253, 7-Speed Automatic w/OD,"Rocklin, CA        "
4, U11469,"            $53,637          ","             $47,700          ", WDC0J4KB1JF405750,Mercedes-Benz GLC 300 AWD 4MATIC®,2018, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 27 MPG                                          |                              CITY, Black MB-Tex," 10,377", 9-Speed Automatic w/OD,"Rocklin, CA        "
5, U11470,"            $57,000          ","             $53,500          ", SALWR2EF8GA576456,Land Rover Range Rover Sport RANGEROVER 4WD,2016, 4WD, Intercooled Supercharger Premium Unleaded V-8 5.0 L/305, Gray, 19 MPG                                          |                              CITY, Black," 32,994", 8-Speed Automatic w/OD,"Rocklin, CA        "
6, U11507,"            $23,000          ","             $19,000          ", JN1BV7AP0FM347380,INFINITI Q50 QX50 RWD,2015, RWD, Premium Unleaded V-6 3.7 L/226, Graphite Shadow, 30 MPG                                          |                              CITY, Graphite," 48,822", 7-Speed Automatic w/OD,"Rocklin, CA        "
7, U11511,"            $45,000          ","             $41,000          ", WDDKK6FF8HF351013,Mercedes-Benz E 400 Sport RWD,2017, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White, 29 MPG                                          |                              CITY, Natural Beige/Black Nappa Leather," 47,270", 7-Speed Automatic w/OD,"Rocklin, CA        "
8, U11516,"            $36,995          ","             $33,995          ", 55SWF4KB0HU206767,Mercedes-Benz C 300 AWD 4MATIC®,2017, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond Silver Metallic, 31 MPG                                          |                              CITY, Crystal Grey MB-Tex," 20,649", 7-Speed Automatic w/OD,"Rocklin, CA        "
9, U11517,"            $55,995          ","             $52,000          ", WDDJK6FA5FF033962,Mercedes-Benz SL 400 RWD,2015, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 27 MPG                                          |                              CITY, Black Nappa Leather," 13,998", 7-Speed Automatic w/OD,"Rocklin, CA        "
10, U11519,"            $49,485          ","             $43,995          ", WDC0G4JB4KV151037,Mercedes-Benz GLC 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 27 MPG                                          |                              CITY, Black MB-Tex," 8,649", 9-Speed Automatic w/OD,"Rocklin, CA        "
11, U11520,"            $46,525          ","             $42,600          ", WDC0G4JB0KV144036,Mercedes-Benz GLC 300 RWD,2019, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 27 MPG                                          |                              CITY, Black MB-Tex," 8,633", 9-Speed Automatic w/OD,"Rocklin, CA        "
12, U11518,"            $31,995          ","             $29,995          ", WDDHF5KB5GB196339,Mercedes-Benz E 350 Sport RWD,2016, RWD, Premium Unleaded V-6 3.5 L/213, Steel Grey Metallic, 29 MPG                                          |                              CITY, Black MB-Tex," 35,007", 7-Speed Automatic w/OD,"Rocklin, CA        "
13, U11510,"            $41,000          ","             $36,895          ", WDDPK5HA2GF124786,Mercedes-Benz SLK 350 Sport RWD,2016, RWD, Premium Unleaded V-6 3.5 L/213, designo Cardinal Red Metallic, 29 MPG                                          |                              CITY, Sahara Beige Leather," 21,939", 7-Speed Automatic w/OD,"Rocklin, CA        "
