,Stock #,Original Price,Sales Price,Vin #,Vehicle Name,Year,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Trans,Location
0, B11684,"            $63,895          ","             $51,788          ", WDD1J6FB7JF028783,Mercedes-Benz E 400 RWD,2018, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 26 MPG                                          |                              CITY, Black Leather," 4,921", 9-Speed Automatic w/OD,"Sacramento, CA        "
1, B11461,"            $58,295          ","             $47,999          ", 4JGDA5JB7JB181806,Mercedes-Benz 350 RWD,2018, RWD, Premium Unleaded V-6 3.5 L/213, Selenite Grey Metallic, 23 MPG                                          |                              CITY, Black MB-Tex," 6,898", 7-Speed Automatic w/OD,"Sacramento, CA        "
2, B11736,"            $76,730          ","             $65,555          ", 4JGDF6EE5KB207624,Mercedes-Benz GLS 450 AWD 4MATIC®,2019, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Polar White, 22 MPG                                          |                              CITY, Black MB-Tex," 9,454", 9-Speed Automatic w/OD,"Sacramento, CA        "
3, B11754,"            $91,519          ","             $78,633          ", SALGS2RK3JA503065,Land Rover Range Rover HSE 4WD,2018, 4WD, Intercooled Turbo Diesel V-6 3.0 L/183, Gray, 28 MPG                                          |                              CITY, BLACK LEATHER," 20,856", 8-Speed Automatic w/OD,"Sacramento, CA        "
4, B11793,"            $28,916          ","             $22,999          ", WDDHF5KB7EB019305,Mercedes-Benz E 350 Sport RWD,2014, RWD, Premium Unleaded V-6 3.5 L/213, Black, 30 MPG                                          |                              CITY, Black MB-Tex," 47,277", 7-Speed Automatic w/OD,"Sacramento, CA        "
5, B11795,"            $37,851          ","             $30,425          ", WDDPK3JA0GF123893,Mercedes-Benz SLK 300 Sport RWD,2016, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Obsidian Black Metallic, 32 MPG                                          |                              CITY, Bengal Red Premium Leather," 37,863", 9-Speed Automatic w/OD,"Sacramento, CA        "
6, B11798,"            $48,762          ","             $39,909          ", WDDZF4JB8HA061234,Mercedes-Benz E 300 RWD,2017, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 30 MPG                                          |                              CITY, Macchiato Beige/ Black MB-Tex," 21,307", 9-Speed Automatic w/OD,"Sacramento, CA        "
7, B11812,"            $34,890          ","             $29,455          ", WDC0G4JB5GF016182,Mercedes-Benz GLC 300 RWD,2016, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 28 MPG                                          |                              CITY, Black MB-Tex," 25,093", 9-Speed Automatic w/OD,"Sacramento, CA        "
8, B11811,"            $37,822          ","             $28,709          ", 55SWF4JB5HU199459,Mercedes-Benz C 300 Luxury RWD,2017, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Dakota Brown Metallic, 34 MPG                                          |                              CITY, Luxury Silk Beige MB-Tex w/ Espresso Brown Dashboard," 19,393", 7-Speed Automatic w/OD,"Sacramento, CA        "
9, B11819,"            $54,559          ","             $49,816          ", WDDLJ7DB8GA167456,Mercedes-Benz CLS 550 RWD,2016, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, designo Diamond White Metallic, 26 MPG                                          |                              CITY, Black Leather w/white cont. stitching," 39,226", 9-Speed Automatic w/OD,"Sacramento, CA        "
10, B11830,"            $71,455          ","             $66,775          ", SALWR2FE8HA144196,Land Rover Range Rover Sport 4WD,2017, 4WD, Intercooled Supercharger Premium Unleaded V-8 5.0 L/305, Silver, 19 MPG                                          |                              CITY, Black," 19,346", 8-Speed Automatic w/OD,"Sacramento, CA        "
11, B11834,"            $38,973          ","             $33,951          ", WDDHF6FB1GB252521,Mercedes-Benz E 400 RWD,2016, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Steel Grey Metallic, 29 MPG                                          |                              CITY, Black Leather," 31,246", 7-Speed Automatic w/OD,"Sacramento, CA        "
12, B11828,"            $38,916          ","             $34,996          ", 2FMPK4AP4JBB19273,Ford Edge Sport AWD,2018, AWD, Twin Turbo Premium Unleaded V-6 2.7 L/164, White, 24 MPG                                          |                              CITY, Black," 5,026", 6-Speed Automatic w/OD,"Sacramento, CA        "
13, B11829,"            $20,916          ","             $16,963          ", 3FA6P0SU6GR202525,Ford Fusion Energi Titanium FWD,2016, FWD, Gas/Electric I-4 2.0 L/122, Red, 36 MPG                                          |                              CITY, Black," 24,101", 1-Speed CVT w/OD,"Sacramento, CA        "
14, B11870,"            $16,916          ","             $13,405          ", WMWXS5C50FT828390,MINI Cooper Hardtop 4 Door FWD,2015, FWD, Intercooled Turbo Premium Unleaded I-3 1.5 L/91, CREAM, 40 MPG                                          |                              CITY, Black," 21,026",,"Sacramento, CA        "
15, B11884,"            $35,899          ","             $32,707          ", 55SWF4JB2HU190721,Mercedes-Benz C 300 RWD,2017, RWD, Gas V8 6.1L/370,, 20 MPG                                          |                              CITY,," 20,958", 5-Speed Automatic,"Sacramento, CA        "
