,Stock #,Original Price,Vin #,Vehicle Name,Year,Drivetrain,Engine,Exterior,HWY,Interior,Mileage,Trans,Location
0, P3392A,"$8,900", JTHBK262X75028035,Lexus IS 250 250,2007, RWD, Gas V6 2.5L/152, Charcoal, 32 MPG                                          |                              CITY,," 157,858", 6-Speed Automatic,"Stockton, CA"
1, L5328A,"$9,999", WDBUF65J85A693548,Mercedes-Benz E-Class 3.2L,2005, RWD, Gas V6 3.2L/195, Capri Blue Metallic, 28 MPG                                          |                              CITY,," 74,456", 5-Speed Automatic w/OD,"Stockton, CA"
2, P3423A,"$11,040", 1GCVKREC5EZ410142,Chevrolet Silverado 1500 LT 4WD,2014, FWD, Regular Unleaded I-4 1.6 L/97, Chalk White, 36 MPG                                          |                              CITY, Beige," 24,026", 6-Speed Automatic w/OD,"Stockton, CA"
3, P3440,"$11,988", KMHCT4AE5HU362511,Hyundai Accent SE,2017, RWD, Turbocharged Gas I4 1.8L/110, Arctic White, 31 MPG                                          |                              CITY, Almond MB-Tex," 136,268", 7-Speed Automatic,"Stockton, CA"
4, P3349A,"$11,995", WDDGF4HB6CA728789,Mercedes-Benz C 250 With Navigation,2012, FWD, Regular Unleaded I-4 1.8 L/110, Super Black, 37 MPG                                          |                              CITY, Charcoal," 23,821", 1-Speed CVT w/OD,"Stockton, CA"
5, P3410,"$12,988", 3N1AB7AP2HL710117,Nissan Sentra SV,2017, FWD, Regular Unleaded I-4 2.0 L/122, Silver, 38 MPG                                          |                              CITY, Black," 33,316", 6-Speed Auto-Shift Manual w/OD,"Stockton, CA"
6, P3420,"$12,988", 1FADP3K26JL324170,Ford Focus SE,2018, 4WD, Gas V8 4.4L/268, White, 18 MPG                                          |                              CITY,," 74,803", 6-Speed Automatic w/OD,"Stockton, CA"
7, 5793A,"$12,995", SALSF25469A213372,Land Rover Range Rover Sport HSE With Navigation & 4WD,2009, FWD, Regular Unleaded I-4 1.6 L/97, Century White, 36 MPG                                          |                              CITY, Black," 26,898", 6-Speed Auto-Shift Manual w/OD,"Stockton, CA"
8, P3289,"$13,488", KMHTC6AD2GU257832,Hyundai Veloster,2016, RWD, Turbocharged Gas I4 1.8L/110, Magnetite Black, 31 MPG                                          |                              CITY, Black MB Tex," 92,905", 7-Speed Automatic,"Stockton, CA"
9, P3276A,"$13,988", 1G6AE5SXXD0137372,Cadillac ATS Premium With Navigation,2013, RWD, Turbocharged I4 2.0L/122, Thunder Gray ChromaFlair, 31 MPG                                          |                              CITY, Light Platinum w/Jet Black Accents," 89,244", 6-Speed Automatic,"Stockton, CA"
10, P3391A,"$14,040", 1HGCR2F80FA156555,Honda Accord Sedan EX-L,2015, FWD, Regular Unleaded I-4 1.8 L/110, Super White, 36 MPG                                          |                              CITY, Ash," 38,364", 1-Speed CVT w/OD,"Stockton, CA"
11, P3437,"$14,788", 2T1BURHE6JC989284,Toyota Corolla LE,2018, FWD, Gas/Electric I-4 2.0 L/122, Oxford White, 41 MPG                                          |                              CITY, Ebony," 33,558", 1-Speed CVT w/OD,"Stockton, CA"
12, 5759A,"$14,988", 1FM5K8F84EGA13808,Ford Explorer Limited 4WD,2014, 4WD, Regular Unleaded V-6 3.5 L/213,, 23 MPG                                          |                              CITY,," 137,431", 6-Speed Automatic w/OD,"Stockton, CA"
13, P3429,"$14,988", 3FA6P0LU8HR232707,Ford Fusion Hybrid SE,2017, FWD, Regular Unleaded I-4 2.4 L/144, White, 36 MPG                                          |                              CITY,," 74,636", 1-Speed CVT w/OD,"Stockton, CA"
14, p3441,"$15,988", 1N4AL3AP7JC111627,Nissan Altima 2.5 SV,2018, FWD, Regular Unleaded I-4 2.5 L/152, Brilliant Silver, 38 MPG                                          |                              CITY, Charcoal," 22,025", 1-Speed CVT w/OD,"Stockton, CA"
15, P3404,"$17,988", JN1BJ1CR5JW264130,Nissan Rogue Sport S AWD,2018, AWD, Regular Unleaded I-4 2.0 L/122, Magnetic Black, 30 MPG                                          |                              CITY, Charcoal," 24,991", 1-Speed CVT w/OD,"Stockton, CA"
16, P3436,"$17,988", KNMAT2MV7JP568882,Nissan Rogue SV AWD,2018, AWD, Regular Unleaded I-4 2.5 L/152, Brilliant Silver, 32 MPG                                          |                              CITY, Charcoal," 36,398", 1-Speed CVT w/OD,"Stockton, CA"
17, 5821A,"$18,999", 1FM5K8F88EGC13235,Ford Explorer Limited 4WD,2014, 4WD, Regular Unleaded V-6 3.5 L/213, White, 23 MPG                                          |                              CITY,," 103,135", 6-Speed Automatic w/OD,"Stockton, CA"
18, P3398,"$21,988", 2C3CDZAG1JH237647,Dodge Challenger SXT,2018, RWD, Regular Unleaded V-6 3.6 L/220, Granite Pearlcoat, 30 MPG                                          |                              CITY, Black," 27,961", 8-Speed Automatic w/OD,"Stockton, CA"
